SequenceID	TimeStamp	RelativeTime	Score	CollectableCoin1Distance	CollectableCoin2Distance	CollectableCoin3Distance	CollectableCoin4Distance	CollectableCoin5Distance	TimeStepCoinsCollected	TimeStepCoinNearMiss	Asteroid1Distance	Asteroid2Distance	Asteroid3Distance	Asteroid4Distance	Asteroid5Distance	AsteroidsInCloseRange	AsteroidsInMediumRange	AsteroidsOnScreen	TimeStepHitByAsteroids	TimeStepAsteroidNearMiss	ScoreCount	MultiplierAmount	ShipOrientation	PlayerInputCount	ShipDistanceTravelled	TimeWithoutHit	VeryRecentScoreDifference	RecentScoreDifference	LongTermScoreDifference	VeryRecentMultiplierDifference	RecentMultiplierDifference	LongTermMultiplierDifference	TotalAsteroidNearMisses	TotalAsteroidHits	TotalCoinCollected	First30SecondsAsteroidHits	First30SecondsCoinsCollected	TotalCoinNearmisses
50d4047b-c112-4720-932d-0d5e5c8d0bf1	2	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	2.5	0.5	0	-1	-1	-1	-1	-1	0	0	11.8	-1	-1	-1	-1	0	0	1	0	0	4.1	1	90	5	1	0.5	4.1	4.1	4.1	0	0	0	0	0	0	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	3	1	0	-1	-1	-1	-1	-1	0	0	12.9	-1	-1	-1	-1	0	0	1	0	0	9.5	1.1	58.7	4	2.9	1	9.5	9.5	9.5	0.1	0.1	0.1	0	0	0	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	3.5	1.5	0	-1	-1	-1	-1	-1	0	0	10.4	14.1	-1	-1	-1	0	0	2	0	0	13.9	1.1	271.3	1	2.1	1.5	13.9	13.9	13.9	0.1	0.1	0.1	0	0	0	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	4	2	0	7.7	-1	-1	-1	-1	0	0	5.8	9.7	-1	-1	-1	0	0	2	0	0	19.7	1.2	232.1	0	3.3	2	19.7	19.7	19.7	0.2	0.2	0.2	0	0	0	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	4.6	2.6	0	9.5	-1	-1	-1	-1	0	0	4.6	7.5	-1	-1	-1	0	1	2	0	0	25.8	1.2	147.5	4	3.1	2.6	25.8	25.8	25.8	0.2	0.2	0.2	0	0	0	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	5.1	3.1	0	7.4	-1	-1	-1	-1	0	0	5.3	8.4	-1	-1	-1	0	0	2	0	0	30.8	1.3	60.6	0	2.5	3.1	30.8	30.8	30.8	0.3	0.3	0.3	0	0	0	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	5.6	3.6	0	3.9	-1	-1	-1	-1	0	0	5.1	9.5	-1	-1	-1	0	0	2	0	0	37.3	1.3	48.8	1	3.7	3.6	37.3	37.3	37.3	0.3	0.3	0.3	0	0	0	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	6.1	4.1	0	6.5	-1	-1	-1	-1	1	0	6.2	11.2	-1	-1	-1	0	0	2	0	0	386.4	1.7	118	3	3.5	4.1	386.4	386.4	386.4	0.7	0.7	0.7	0	0	1	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	6.6	4.6	6	5.4	-1	-1	-1	-1	0	0	5.3	9.6	18	-1	-1	0	0	3	0	0	393.4	1.8	238.8	1	2.3	4.6	393.4	393.4	393.4	0.8	0.8	0.8	0	0	1	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	7.1	5.1	2	2.1	-1	-1	-1	-1	0	0	4.6	5.3	13.4	-1	-1	0	1	3	0	0	402.3	1.8	256.2	1	3.4	5.1	402.3	402.3	402.3	0.8	0.8	0.8	0	0	1	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	7.6	5.6	8	-1	-1	-1	-1	-1	1	0	3.1	8.6	8.8	-1	-1	0	1	3	0	0	848.6	2.2	268.3	2	3.9	5.6	843.4	848.6	848.6	1.2	1.2	1.2	0	0	2	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	8.1	6.1	2	3.8	-1	-1	-1	-1	0	0	3.3	5.5	10.4	-1	-1	0	1	3	0	0	857.5	2.3	17.1	2	2.7	6.1	848	857.5	857.5	1.2	1.3	1.3	0	0	2	0	0	0
50d4047b-c112-4720-932d-0d5e5c8d0bf1	8.6	6.6	2	5.6	-1	-1	-1	-1	0	0	3.2	4.2	9.9	13.5	-1	0	2	4	0	0	868.9	2.3	9.1	1	3.1	6.6	853.8	868.9	868.9	1.2	1.3	1.3	0	0	2	0	0	0
