SequenceID	TimeStamp	RelativeTime	Score	CollectableCoin1Distance	CollectableCoin2Distance	CollectableCoin3Distance	CollectableCoin4Distance	CollectableCoin5Distance	TimeStepCoinsCollected	TimeStepCoinNearMiss	Asteroid1Distance	Asteroid2Distance	Asteroid3Distance	Asteroid4Distance	Asteroid5Distance	AsteroidsInCloseRange	AsteroidsInMediumRange	AsteroidsOnScreen	TimeStepHitByAsteroids	TimeStepAsteroidNearMiss	ScoreCount	MultiplierAmount	ShipOrientation	PlayerInputCount	ShipDistanceTravelled	TimeWithoutHit	VeryRecentScoreDifference	RecentScoreDifference	LongTermScoreDifference	VeryRecentMultiplierDifference	RecentMultiplierDifference	LongTermMultiplierDifference	TotalAsteroidNearMisses	TotalAsteroidHits	TotalCoinCollected	First30SecondsAsteroidHits	First30SecondsCoinsCollected	TotalCoinNearmisses
77a47e6d-a802-478b-94ef-f10b12e63a73	2	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	2.5	0.5	0	-1	-1	-1	-1	-1	0	0	11.1	-1	-1	-1	-1	0	0	1	0	0	4.1	1	98.7	5	1	0.5	4.1	4.1	4.1	0	0	0	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	3	1	0	-1	-1	-1	-1	-1	0	0	9.1	9.9	-1	-1	-1	0	0	2	0	0	9.5	1.1	348	6	1.5	1	9.5	9.5	9.5	0.1	0.1	0.1	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	3.6	1.5	0	-1	-1	-1	-1	-1	0	0	6.6	8.4	-1	-1	-1	0	0	2	0	0	15.1	1.1	216.3	5	1.5	1.5	15.1	15.1	15.1	0.1	0.1	0.1	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	4.1	2.1	0	7.2	-1	-1	-1	-1	0	0	6.3	6.9	-1	-1	-1	0	0	2	0	0	20.9	1.2	19.1	3	2	2.1	20.9	20.9	20.9	0.2	0.2	0.2	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	4.6	2.6	0	9.7	-1	-1	-1	-1	0	0	3.2	4.3	-1	-1	-1	0	2	2	0	0	25.8	1.2	81.8	0	2.8	2.6	25.8	25.8	25.8	0.2	0.2	0.2	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	5.1	3.1	0	12.8	-1	-1	-1	-1	0	0	3	5.6	-1	-1	-1	0	1	2	0	0	32.1	1.3	30.9	4	3.3	3.1	32.1	32.1	32.1	0.3	0.3	0.3	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	5.6	3.6	5	12	-1	-1	-1	-1	0	0	3.1	6.7	-1	-1	-1	0	1	2	0	0	38.6	1.3	288	0	2.6	3.6	38.6	38.6	38.6	0.3	0.3	0.3	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	6.1	4.1	0	8.9	3.8	-1	-1	-1	0	0	3.2	5.6	-1	-1	-1	0	1	2	0	0	44	1.4	264.8	1	3.6	4.1	44	44	44	0.4	0.4	0.4	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	6.6	4.6	0	5.2	4.3	-1	-1	-1	0	0	3.3	3.5	14.8	-1	-1	0	2	3	0	0	51	1.4	233.5	0	3.7	4.6	51	51	51	0.4	0.4	0.4	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	7.1	5.1	0	1.5	6.8	-1	-1	-1	0	0	2.2	4.6	15	-1	-1	1	2	3	0	0	58.3	1.5	245.4	2	3.9	5.1	58.3	58.3	58.3	0.5	0.5	0.5	0	0	0	0	0	0
77a47e6d-a802-478b-94ef-f10b12e63a73	7.6	5.6	0	-1	9.1	-1	-1	-1	1	0	3.1	6.5	16.1	-1	-1	0	1	3	0	0	429.7	1.9	4.2	5	2.9	5.6	424.5	429.7	429.7	0.8	0.9	0.9	0	0	1	0	0	0
