SequenceID	TimeStamp	RelativeTime	Score	CollectableCoin1Distance	CollectableCoin2Distance	CollectableCoin3Distance	CollectableCoin4Distance	CollectableCoin5Distance	TimeStepCoinsCollected	TimeStepCoinNearMiss	Asteroid1Distance	Asteroid2Distance	Asteroid3Distance	Asteroid4Distance	Asteroid5Distance	AsteroidsInCloseRange	AsteroidsInMediumRange	AsteroidsOnScreen	TimeStepHitByAsteroids	TimeStepAsteroidNearMiss	ScoreCount	MultiplierAmount	ShipOrientation	PlayerInputCount	ShipDistanceTravelled	TimeWithoutHit	VeryRecentScoreDifference	RecentScoreDifference	LongTermScoreDifference	VeryRecentMultiplierDifference	RecentMultiplierDifference	LongTermMultiplierDifference	TotalAsteroidNearMisses	TotalAsteroidHits	TotalCoinCollected	First30SecondsAsteroidHits	First30SecondsCoinsCollected	TotalCoinNearmisses
46d326ea-0cba-4639-8795-58f2a7ed1ba5	2	0	0	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	2.5	0.5	0	-1	-1	-1	-1	-1	0	0	6.1	-1	-1	-1	-1	0	0	1	0	0	4.1	1	0	0	0	0.5	4.1	4.1	4.1	0	0	0	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	3	1	0	-1	-1	-1	-1	-1	0	0	5.4	11.8	-1	-1	-1	0	0	2	0	0	9.5	1.1	55.1	5	0.9	1	9.5	9.5	9.5	0.1	0.1	0.1	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	3.5	1.5	0	-1	-1	-1	-1	-1	0	0	5.1	10	-1	-1	-1	0	0	2	0	0	13.9	1.1	236	3	1.7	1.5	13.9	13.9	13.9	0.1	0.1	0.1	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	4	2	0	5.6	-1	-1	-1	-1	0	0	4.8	8.5	8.9	-1	-1	0	1	3	0	0	19.7	1.2	89.1	3	1.9	2	19.7	19.7	19.7	0.2	0.2	0.2	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	4.5	2.5	0	6	-1	-1	-1	-1	0	0	5	6.8	7.5	9.2	-1	0	0	4	0	0	25.8	1.2	267.4	3	1.8	2.5	25.8	25.8	25.8	0.2	0.2	0.2	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	5	3	0	4.1	-1	-1	-1	-1	0	0	3.4	3.7	6.5	8.2	8.2	0	2	5	0	0	32.1	1.3	160.1	4	2.4	3	32.1	32.1	32.1	0.3	0.3	0.3	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	5.5	3.5	0	4.5	-1	-1	-1	-1	0	0	2.7	4.2	4.9	5.7	6	0	2	6	0	0	37.3	1.3	185.4	4	1.2	3.5	37.3	37.3	37.3	0.3	0.3	0.3	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	6	4	0	2.6	-1	-1	-1	-1	0	0	2.9	4.6	5.5	5.8	6.7	0	2	7	0	0	44	1.4	264.4	2	2.4	4	44	44	44	0.4	0.4	0.4	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	6.6	4.6	0	1.5	8.7	-1	-1	-1	0	0	3.7	4.7	5.2	5.8	6.4	0	2	8	0	0	51	1.4	133.9	6	1.9	4.6	51	51	51	0.4	0.4	0.4	0	0	0	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	7.1	5.1	0	-1	9.5	-1	-1	-1	1	0	2.8	2.9	4.4	7.1	7.3	0	3	9	0	0	419	1.8	29.7	5	1.4	5.1	419	419	419	0.8	0.8	0.8	0	0	1	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	7.6	5.6	0	-1	7.9	-1	-1	-1	0	0	2.1	2.2	3.4	5.4	8.7	2	3	9	0	0	426.4	1.9	111.9	2	2.2	5.6	422.3	426.4	426.4	0.8	0.9	0.9	0	0	1	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	8.1	6.1	30	4.4	6.2	-1	-1	-1	0	0	3.1	4	4.2	6.1	6.5	0	3	8	1	0	181.5	1	13.5	4	2.3	0.1	172.1	181.5	181.5	-0.1	0	0	0	1	1	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	8.6	6.6	-30	5.1	4.7	-1	-1	-1	0	0	2.1	2.2	3	6.5	7.3	2	3	8	0	0	186.7	1.1	201.6	4	2	0.6	172.8	186.7	186.7	-0.1	0.1	0.1	0	1	1	0	0	0
46d326ea-0cba-4639-8795-58f2a7ed1ba5	9.1	7.1	0	3	6.7	-1	-1	-1	0	0	2.1	2.6	3.2	3.8	6.2	1	4	9	0	1	192.2	1.1	301	1	2.2	1.1	172.5	192.2	192.2	-0.1	0.1	0.1	1	1	1	0	0	0
